Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Keibert Ruiz#,25,20,85,80,4,12,0,0,2,4,0,0,3,13,0.15,0.2,0.225,0.425,25,18,3,2,0,0,0,ruizke01
2,1B,Joey Meneses,32,33,145,128,6,28,4,0,0,18,1,0,12,26,0.219,0.29,0.25,0.54,61,32,4,2,0,3,1,menesjo01
3,2B,Luis García Jr.*,24,32,119,110,9,35,10,0,3,20,7,0,9,22,0.318,0.37,0.491,0.861,151,54,0,0,0,0,0,garcilu04
4,SS,CJ Abrams*,23,34,156,140,25,37,7,4,7,20,8,2,11,30,0.264,0.329,0.521,0.85,146,73,0,3,1,1,2,abramcj01
5,3B,Trey Lipscomb,24,28,106,92,15,23,1,0,1,8,7,1,10,16,0.25,0.333,0.293,0.627,87,27,5,2,0,1,0,lipsctr01
6,LF,Jesse Winker*,30,36,151,127,19,31,8,0,4,18,4,0,18,33,0.244,0.358,0.402,0.759,124,51,4,5,0,1,1,winkeje01
7,CF,Jacob Young,24,29,101,87,20,25,6,0,0,8,13,1,7,16,0.287,0.364,0.356,0.72,113,31,0,4,2,1,0,youngja03
8,RF,Lane Thomas (10-day IL),28,22,96,87,6,16,0,0,2,10,11,1,8,20,0.184,0.25,0.253,0.503,49,22,0,0,0,1,0,thomala02
9,DH,Nick Senzel,29,19,80,70,8,15,2,0,5,11,0,1,8,26,0.214,0.304,0.457,0.761,121,32,0,1,0,0,1,senzeni01
10,OF,Eddie Rosario*,32,29,97,88,12,14,3,0,3,7,5,1,7,23,0.159,0.219,0.295,0.514,50,26,1,0,1,1,0,rosared01
11,1B,Joey Gallo* (10-day IL),30,23,91,74,8,9,5,0,3,5,1,0,15,43,0.122,0.286,0.311,0.597,76,23,0,2,0,0,0,gallojo01
12,UT,Ildemaro Vargas#,32,21,68,59,7,19,8,0,0,6,2,3,8,7,0.322,0.403,0.458,0.861,153,27,1,0,1,0,0,vargail01
13,C,Riley Adams,28,17,66,58,6,13,4,0,2,6,0,0,6,20,0.224,0.288,0.397,0.684,100,23,2,0,0,2,1,adamsri03
14,OF,Alex Call (40-man),29,7,21,16,6,5,1,0,0,1,1,0,3,5,0.313,0.476,0.375,0.851,155,6,0,2,0,0,0,callal02
15,OF,Víctor Robles,27,5,9,6,2,2,0,0,0,1,3,0,3,1,0.333,0.556,0.333,0.889,170,2,0,0,0,0,0,roblevi01
16,C,Drew Millas# (40-man),26,2,6,6,0,1,0,0,0,0,1,0,0,1,0.167,0.167,0.167,0.333,-1,1,1,0,0,0,0,milladr01
17,MI,Nasim Nuñez#,23,9,3,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,-100,0,0,0,0,0,0,nunezna01
18,P,Kyle Finnegan,32,0,0,,,,,,,,,,,,,,,,,,,,,,,finneky01
19,P,Tanner Rainey,31,0,0,,,,,,,,,,,,,,,,,,,,,,,raineta01
20,P,Joan Adon (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,adonjo01
21,P,Patrick Corbin*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,corbipa01
22,P,Jake Irvin,27,0,0,,,,,,,,,,,,,,,,,,,,,,,irvinja01
23,P,Robert Garcia,28,0,0,,,,,,,,,,,,,,,,,,,,,,,garciro04
24,P,Jordan Weems*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,weemsjo01
25,P,Josiah Gray (15-day IL),26,0,0,,,,,,,,,,,,,,,,,,,,,,,grayjo03
26,P,Hunter Harvey,29,0,0,,,,,,,,,,,,,,,,,,,,,,,harvehu01
27,P,Matt Barnes,34,0,0,,,,,,,,,,,,,,,,,,,,,,,barnema01
28,P,Derek Law,33,0,0,,,,,,,,,,,,,,,,,,,,,,,lawde01
29,P,Trevor Williams,32,0,0,,,,,,,,,,,,,,,,,,,,,,,willitr01
30,P,Dylan Floro*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,florody01
31,P,Mitchell Parker*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,parkemi01
32,P,Jacob Barnes,34,0,0,,,,,,,,,,,,,,,,,,,,,,,barneja01
33,P,MacKenzie Gore*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,gorema01
